text,conversation_id,id,human_int_mean,human_int_var,58c62eac444ade00010231a9,59b536d60516f6000197c3f9,5ab15ab4c42b630001cd36fb,5ad63c167f70c10001904bc5,5b830542b0d72600018dc280,5bb2a0148f3bd70001e5633f,5c4b06903566570001309394,5c4c747aa123930001ac124f,5c6ed5ea21a3560001bd3758,5d2b153afa24ba00173e8ee0,5d2d98a9a0d896001a5d6e4f,5d7f460632ee8a0018dc7502,5d8346167ed176001888204d,5dc0856370d51c032949d2db,5de00d05988d7c0877eaa15a,5de440d3400de40285c01263,5de585e4040f535067ca331e,5df50a49a98a7a3924e4137e,5df63f3ce632e14403dfa80f,5df97fcd11d8796fd29e85e3,5e06667850221303e42bdfc4,5e1e3898753e43085dbc3d71,5e2d7770d70e4e367b8a6498,5e569011c0486f03a51801b5,5e7a5584718c83035a42519c,5ea59ae1ae3958000acc6400,5ea9c1f55ce96d106af147a7,5ec3b9e83f187802a6aa041e,5ecd7b06a1a9170e7806f51e,5ecfc4e722413102e68160ba,5ed22618dd85e700082b5de0,5edab4e9750d97142796d0fa,5eea650223990c15b6063ea8,5eecf91f87fdd30e01f700b8,5ef0b54037a90c618ad9e97f,5ef3efcb420ab11a45a0b8a6,5efd146921bf49159fe2d166,5f0559d1bc410b85707c58a3,5f0af097e7d15b3bf7734642,5f0d65ef2ad0c60009209f0f,5f117f2b69f65101263bf8d0,5f14dbbb791d175744d71a09,5f2196d2670e5a0a96f218de,5f233d7f53212b0e22bf055d,5f3161410f87706425490ae1,5f325435f0fc671a7434cabe,5f36cbc35fc3f70f6385f664,5f3e36440f2e8d0008474ef9,5f3e95436fa4350dadcfbfeb,5f4e13a9c6a7d0ae613da383,5f5e7de4c81d3672642cd612,5f600669b846780f0fe45709,5f73427f244c770277ba2a5d,5f770f1691d3f91d768299f3,5f7d002d141e4e1c0e84e98e,5f8f6afd0b55a11df912a5c9,5f983c66dabf130bee4502f7,5f99cee5a2a7d109a1624e10,5fa76304caa4374da116923a,5fa888dbc0c212750f986c9e,5fae9cb0444e590669418214,5fb7e27bfec8e14167bddfef,5fc60be0227abc1b525a09a8,5fd0c81fc79aef1882cbee94,5fd9c5c67fa7c74ec42bb318,5ffdf54a500d7740e02f3639,60056b8b5db9c8774719d1a8,601941db6605160008690742,602fb33786b077cdbad2d5bb,6030119a4403b3e1f92a756a,60317fc2c8f6320ecde4bcb3,603a293ee62ae15da2674441,603e8ed1b54e6cf4fafcaa1a,6043725293678f31ff8f8ae5,605f811bc336749dd9dddd1b,606b84e11527ce2103add0a5,6071d42438f4fc44ff6b54c5,60743bea7dd527ac14fef25b,607d3fb81fd7a5c65619ed88,60c8bfd9f42872e2d303cc67,60ef4642202c8520a37e19b5,60f88d7fef1959734061e5a7,6101885b0f3e7fdafc8fd5d1,6103a3ece71ab061d5624402,610a9f8ba0cf35614ecb2a8d,61126cd00f29b7c648dca793,61139bc8479c2861f52c4a71,611a78efa6c36a674dc40cc6,611a9f9591ef82d19cfc5db1,611ccab657532350bc9b78ee,612a87998958706392797405,613d091096ca434d703f77c5,614e848825ae648282115670,61693c754827d0e35885a4ea,6171b1bc917dfe828a3130dd,6341258618bd26e47d901d74,human_int,proc_text,int_mean,int_var,new_13bchat,new_7bchat,7b_int,13b_int,7bnonchat_int,13bnonchat_int,gpt4_int,mis_nonchat_int,mix_int,mis7_int
"student: i think it's great! i can see much more people exercising on the streets nowadays than a few years ago  teacher: yes, you know one thing that i think about with running and spain is that it must be really hot for some of the year - as in too hot to run(?) when i lived there i didn't do much exercise - just smoked and drank too much! i gave up smoking a long time ago by the way thank god...    teacher: absolutely! running in spain can be quite challenging during the hotter months, don't you think? it can get too hot to run comfortably. back when i lived there, i wasn't very active myself. i used to smoke and drink excessively. by the way, i'm grateful to say that i quit smoking a long time ago, thank goodness.",7,53301,3,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,"student: i think it's great! i can see much more people exercising on the streets nowadays than a few years ago  teacher: yes, you know one thing that i think about with running and spain is that it must be really hot for some of the year - as in too hot to run(?) when i lived there i didn't do much exercise - just smoked and drank too much! i gave up smoking a long time ago by the way thank god...    teacher: absolutely! running in spain can be quite challenging during the hotter months, don't you think? it can get too hot to run comfortably. back when i lived there, i wasn't very active myself. i used to smoke and drink excessively. by the way, i'm grateful to say that i quit smoking a long time ago, thank goodness.",3,3,2,3,4,2,0,2,4,0,3,3
"student: i think it's more or less the same speed  teacher: well, we can give it a go and practise! you didn't think you'd be good at reading and use of english, remember? there are two parts to a writing exam. you have no choice of task in part 1, but in part 2 there are a few options hold on a sec, i'll email you the paper",168,38781,2.333333333,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"student: i think it's more or less the same speed  teacher: well, we can give it a go and practise! you didn't think you'd be good at reading and use of english, remember? there are two parts to a writing exam. you have no choice of task in part 1, but in part 2 there are a few options hold on a sec, i'll email you the paper",2.333333333,2.333333333,2,3,2,3,0,1,3,3,3,3
student: i think it's normal.  teacher: ok...it's certainly perfectly possible and correct...can you think of a different word?!    teacher: it is possible and correct to use 'rarely' in normal speech. can you think of another word?,12,66128,2.666666667,0.333333333,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,student: i think it's normal.  teacher: ok...it's certainly perfectly possible and correct...can you think of a different word?!    teacher: it is possible and correct to use 'rarely' in normal speech. can you think of another word?,2.666666667,0.333333333,2,3,3,4,1,3,3,1,2,2
"student: i think it's our teachers fault (teachers here). they don't care too much about it, here grammar seems to be veryyy important  teacher: yes i'm sure you're right - i guess it'll change with the exposure to authentic speech on the internet etc it's definitely changed already in my expereince the average pronunciation of my younger students is better than 10 years ago for example cos they watch netflix all the time... or youtube or whatever",28,47075,2.666666667,0.333333333,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"student: i think it's our teachers fault (teachers here). they don't care too much about it, here grammar seems to be veryyy important  teacher: yes i'm sure you're right - i guess it'll change with the exposure to authentic speech on the internet etc it's definitely changed already in my expereince the average pronunciation of my younger students is better than 10 years ago for example cos they watch netflix all the time... or youtube or whatever",2.666666667,0.333333333,3,3,2,3,4,2,4,0,2,4
"student: i think it's similar  teacher: it's a bit different, but we can look into this next time. it's called second conditionals, for things that are not true at the moment you've probably heard about it    teacher: it's marginally dissimilar, however, we can delve into this matter on a subsequent occasion. it's referred to as second conditionals, for situations that are presently untrue. you may have come across it in passing.",83,54106,2,1,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i think it's similar  teacher: it's a bit different, but we can look into this next time. it's called second conditionals, for things that are not true at the moment you've probably heard about it    teacher: it's marginally dissimilar, however, we can delve into this matter on a subsequent occasion. it's referred to as second conditionals, for situations that are presently untrue. you may have come across it in passing.",2,1,2,3,4,3,1,1,3,0,3,2
student: i think it's too difficult for me )  teacher: i really miss those buns!    teacher: i have a strong desire to have those buns again.,110,65590,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,student: i think it's too difficult for me )  teacher: i really miss those buns!    teacher: i have a strong desire to have those buns again.,2,1,2,3,1,1,0,1,2,3,2,3
"student: i think it's very important (pronunciation). i always check it when i have doubts because it's been difficult for me to make people understand me sometimes when i lived in england... since i spend some time there the first time i went, i realised how important it is to know the correct pronunciation of words... i won't use search up then ;)  teacher: yes i think that's great you focused on that - i remember the small amount of time i heard you speaking you seemd to have very good pronunciation (especailly for a spanish speaker - sorry that sounds like a back-handed compliment)",28,47071,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i think it's very important (pronunciation). i always check it when i have doubts because it's been difficult for me to make people understand me sometimes when i lived in england... since i spend some time there the first time i went, i realised how important it is to know the correct pronunciation of words... i won't use search up then ;)  teacher: yes i think that's great you focused on that - i remember the small amount of time i heard you speaking you seemd to have very good pronunciation (especailly for a spanish speaker - sorry that sounds like a back-handed compliment)",2,1,2,3,4,3,2,3,4,3,3,4
"student: i think me too but it's really funny )  teacher: it is! i really didn't like it last time, it's so sexist!",152,36000,2.666666667,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,3,"student: i think me too but it's really funny )  teacher: it is! i really didn't like it last time, it's so sexist!",2.666666667,1.333333333,2,3,3,2,0,2,3,1,2,2
"student: i think my authentic sense of humor is better )))) haha  teacher: haha, i see! your pre-<student's husband> sense of humour :))",177,38845,2.333333333,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"student: i think my authentic sense of humor is better )))) haha  teacher: haha, i see! your pre-<student's husband> sense of humour :))",2.333333333,2.333333333,2,3,4,2,1,2,3,1,3,3
"student: i think non-essential i bought some clothes  teacher: aha, so you can shop for clothes, books etc? yes, i see!",80,36177,2.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,2,"student: i think non-essential i bought some clothes  teacher: aha, so you can shop for clothes, books etc? yes, i see!",2.333333333,0.333333333,2,3,3,2,0,2,3,4,3,
"student: i think running and yoga is a very good combination. an d when i say yoga i mean exercises that help you to stretch all your muscles  teacher: yes i'm sure you're right...i have thought about doing yoga before so who knows? but i'm supposed to be doing kung fu with my daughter after christmas! by the way <student> i noticed you've typed 'tent' a couple of time for the verb 'tend' - is that just a typo??! do you know what i mean by'typo' (=a typing error)    teacher: absolutely, your point is well taken. i've actually contemplated trying yoga in the past, so who knows? however, i have plans to practice kung fu with my daughter after christmas! on another note, <student>, i noticed you've written 'tent' instead of 'tend' a couple of times - was that simply a typo? are you familiar with the term 'typo' (=a typing error)?",7,53291,3,3,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,"student: i think running and yoga is a very good combination. an d when i say yoga i mean exercises that help you to stretch all your muscles  teacher: yes i'm sure you're right...i have thought about doing yoga before so who knows? but i'm supposed to be doing kung fu with my daughter after christmas! by the way <student> i noticed you've typed 'tent' a couple of time for the verb 'tend' - is that just a typo??! do you know what i mean by'typo' (=a typing error)    teacher: absolutely, your point is well taken. i've actually contemplated trying yoga in the past, so who knows? however, i have plans to practice kung fu with my daughter after christmas! on another note, <student>, i noticed you've written 'tent' instead of 'tend' a couple of times - was that simply a typo? are you familiar with the term 'typo' (=a typing error)?",3,3,2,3,4,2,3,3,3,3,3,3
"student: i think so  teacher: but yes, ukrainian / italian / french cuisine and english cuisine",163,39567,2.666666667,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,"student: i think so  teacher: but yes, ukrainian / italian / french cuisine and english cuisine",2.666666667,2.333333333,2,3,3,2,0,2,3,1,2,3
student: i think so  teacher: i've got to check it out.    teacher: i will have to investigate it.,180,64580,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,student: i think so  teacher: i've got to check it out.    teacher: i will have to investigate it.,1,1,2,3,3,3,1,3,4,4,1,2
student: i think so )  teacher: did you not get a good night's sleep?,159,38879,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,student: i think so )  teacher: did you not get a good night's sleep?,1,1,2,3,4,4,0,1,3,4,2,2
student: i think so...  teacher: ok well anyway - i hope you cam make the best of it and don't get too down....!,37,38286,1.666666667,1.333333333,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,2,student: i think so...  teacher: ok well anyway - i hope you cam make the best of it and don't get too down....!,1.666666667,1.333333333,2,3,4,4,2,1,3,0,2,1
"student: i think somebody gave me an english book as a gift  teacher: obviously, if there's a blog / insta / tik tok account that you like in english, that could be perfect for smaller texts    teacher: if there's a blog / insta / tik tok account that you like in english, that could be perfect for smaller texts.",257,66344,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"student: i think somebody gave me an english book as a gift  teacher: obviously, if there's a blog / insta / tik tok account that you like in english, that could be perfect for smaller texts    teacher: if there's a blog / insta / tik tok account that you like in english, that could be perfect for smaller texts.",3,1,2,3,4,3,1,2,3,2,2,1
"student: i think teachers are quite busy  teacher: ok, i'll be a foreigner from an ngo company)) oh yes, teachers are forever overworked    teacher: ok, i'll be a foreigner from an ngo company)) yes, teachers are often burdened with excessive workloads.",117,64509,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i think teachers are quite busy  teacher: ok, i'll be a foreigner from an ngo company)) oh yes, teachers are forever overworked    teacher: ok, i'll be a foreigner from an ngo company)) yes, teachers are often burdened with excessive workloads.",2,1,3,3,3,3,0,2,1,4,3,3
"student: i think that native spiking english teachers here usually have some specific personal hm  teacher: yes, it's a stereotype for a reason :)    teacher: yes, it's a stereotype that exists for a reason.",117,64517,2.333333333,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i think that native spiking english teachers here usually have some specific personal hm  teacher: yes, it's a stereotype for a reason :)    teacher: yes, it's a stereotype that exists for a reason.",2.333333333,1.333333333,2,3,3,3,4,3,1,2,2,2
student: i think the meaning here is that fight with other students who are not strong in class.  teacher: yes ok ok ...maybe 'bully' is a good verb here - do you know that word?,62,39648,2.666666667,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,student: i think the meaning here is that fight with other students who are not strong in class.  teacher: yes ok ok ...maybe 'bully' is a good verb here - do you know that word?,2.666666667,0.333333333,2,3,3,4,1,2,4,1,2,2
"student: i think the underground fare is 8 uah now  teacher: oh my goodness! i think it used to be 1 uah but still, it's much cheaper than london transport fares :)",214,36551,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,2,"student: i think the underground fare is 8 uah now  teacher: oh my goodness! i think it used to be 1 uah but still, it's much cheaper than london transport fares :)",2,0,2,3,2,4,3,2,3,3,3,
student: i think they can't be good friends  teacher: why not?,177,38836,0.666666667,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,student: i think they can't be good friends  teacher: why not?,0.666666667,1.333333333,2,3,4,4,0,0,3,1,3,3
"student: i think writing in this way is more academic than i wrote before.  teacher: ok fine - i guess that's it for today <student> - thanks. so i'll speak to you tomorrow from 14:00 ...bye    teacher: that's all for today, <student>. i will talk to you tomorrow at 14:00. goodbye.",43,59638,1.333333333,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,1,"student: i think writing in this way is more academic than i wrote before.  teacher: ok fine - i guess that's it for today <student> - thanks. so i'll speak to you tomorrow from 14:00 ...bye    teacher: that's all for today, <student>. i will talk to you tomorrow at 14:00. goodbye.",1.333333333,1.333333333,2,3,3,3,0,2,2,1,1,3
student: i think yes  teacher: in what way?,84,45908,0.666666667,1.333333333,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,student: i think yes  teacher: in what way?,0.666666667,1.333333333,2,3,3,4,2,3,3,2,2,3
"student: i think yes marshmallows are better:)  teacher: great, i'll send you the link then, have a lovely day! nooo, zefir is better :)",80,36245,2.333333333,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,2,"student: i think yes marshmallows are better:)  teacher: great, i'll send you the link then, have a lovely day! nooo, zefir is better :)",2.333333333,1.333333333,2,3,,4,4,2,3,2,1,
"student: i think you are on hufflepuff too)  teacher: and, if we were sorted by the real sorting hat, we'd have a chance to influence its decision why am i a hufflepuff? *in hufflepuff",142,39200,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i think you are on hufflepuff too)  teacher: and, if we were sorted by the real sorting hat, we'd have a chance to influence its decision why am i a hufflepuff? *in hufflepuff",2,1,3,3,4,4,0,3,3,1,4,4
"student: i think you china also it's fox. in china  teacher: ok, fair enough! a fox it is! i think it's because foxes are so clever and they can steal chickens from farms, so farmers think they are cunning",172,39475,3.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3,"student: i think you china also it's fox. in china  teacher: ok, fair enough! a fox it is! i think it's because foxes are so clever and they can steal chickens from farms, so farmers think they are cunning",3.333333333,0.333333333,2,3,2,2,2,3,3,1,3,2
"student: i think your advice it really help me!!!  teacher: give it a go and let me know how it is, ok?    teacher: please attempt it and inform me of your experience, okay?",126,63092,2.666666667,0.333333333,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,"student: i think your advice it really help me!!!  teacher: give it a go and let me know how it is, ok?    teacher: please attempt it and inform me of your experience, okay?",2.666666667,0.333333333,2,3,3,3,3,2,3,2,2,1
"student: i though you were asking about thi series of jokes, i assumed this was also published as a book or something... okay, i actually knew that a 'pun' was some sort of joke, but i didn't know it involved word's meaning in particular.  teacher: oh sorry, i confused you! no, i was just trying to say that 'tom said' jokes are based on some wordplay ok, let's have a look at a couple of jokes, i wonder if you know both meaning of words...",211,38230,1.666666667,0.333333333,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,2,"student: i though you were asking about thi series of jokes, i assumed this was also published as a book or something... okay, i actually knew that a 'pun' was some sort of joke, but i didn't know it involved word's meaning in particular.  teacher: oh sorry, i confused you! no, i was just trying to say that 'tom said' jokes are based on some wordplay ok, let's have a look at a couple of jokes, i wonder if you know both meaning of words...",1.666666667,0.333333333,2,3,3,3,3,1,4,0,3,4
"student: i though, you want me to change the sentence again555 pls let me think about that  teacher: ah i see sorry yes no problem    teacher: for example, you can also utilize the verb 'generate' in relation to electricity. can you consider another potential verb commencing with the letter 'g'? take your time to reflect on this matter.",20,63050,2.333333333,0.333333333,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,"student: i though, you want me to change the sentence again555 pls let me think about that  teacher: ah i see sorry yes no problem    teacher: for example, you can also utilize the verb 'generate' in relation to electricity. can you consider another potential verb commencing with the letter 'g'? take your time to reflect on this matter.",2.333333333,0.333333333,3,3,2,2,2,2,4,3,3,3
student: i thought about beauty advent calender  teacher: that sounds nice!,152,35987,1.666666667,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,2,student: i thought about beauty advent calender  teacher: that sounds nice!,1.666666667,1.333333333,2,3,3,3,2,1,3,2,2,2
student: i thought about some advent calendar for me or for me and <student's husband> but as a _____ person i've started to think how to use it it has become?  teacher: what kind of person?)),152,35985,1.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,student: i thought about some advent calendar for me or for me and <student's husband> but as a _____ person i've started to think how to use it it has become?  teacher: what kind of person?)),1.333333333,0.333333333,3,3,3,3,2,2,3,3,4,2
student: i thought it's normal... but formal?  teacher: a bit yes....can you tell me the thing you said about mallorca in a different way? the thing about few people i mean    teacher: can you rephrase your comment about mallorca and the number of people there?,12,66113,2.666666667,1.333333333,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,student: i thought it's normal... but formal?  teacher: a bit yes....can you tell me the thing you said about mallorca in a different way? the thing about few people i mean    teacher: can you rephrase your comment about mallorca and the number of people there?,2.666666667,1.333333333,2,3,3,2,2,2,3,3,3,3
"student: i thought it's not right/ i don't know why  teacher: it depends, do you mean the way other people see them? that's an image    teacher: that depends. are you referring to how others perceive them? that would be considered an image.",117,64519,2.333333333,1.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i thought it's not right/ i don't know why  teacher: it depends, do you mean the way other people see them? that's an image    teacher: that depends. are you referring to how others perceive them? that would be considered an image.",2.333333333,1.333333333,2,3,3,3,0,3,1,1,2,3
"student: i thought of online teaching, you can always do that. but if people can't work they don't have money to pay online classes... uffff hard  teacher: so all the staff will probably be laid off yes that's true i guess - that's what everyone's doing but as you say the demand won't necessarily be there right now - we'l see! i'm planning lots of quality time at my allotment...",28,47057,2.333333333,0.333333333,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i thought of online teaching, you can always do that. but if people can't work they don't have money to pay online classes... uffff hard  teacher: so all the staff will probably be laid off yes that's true i guess - that's what everyone's doing but as you say the demand won't necessarily be there right now - we'l see! i'm planning lots of quality time at my allotment...",2.333333333,0.333333333,2,3,2,3,0,2,3,0,2,2
"student: i thought so ) thank you  teacher: like, my brother and i don't really get on things like that *sorry, get on, not get one!",159,38931,2.333333333,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,"student: i thought so ) thank you  teacher: like, my brother and i don't really get on things like that *sorry, get on, not get one!",2.333333333,2.333333333,2,3,4,3,0,1,2,0,3,4
"student: i thought that it's third conditional oh no  teacher: no worries, we'll play with this grammar next time!    teacher: don't fret, we'll have the pleasure of delving into this grammar in our next class.",83,54107,2,1,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,"student: i thought that it's third conditional oh no  teacher: no worries, we'll play with this grammar next time!    teacher: don't fret, we'll have the pleasure of delving into this grammar in our next class.",2,1,3,3,3,4,3,2,3,2,3,0
"student: i thought the same. i mean what my teacher has to think ) but then i've noticed it ok! so you know that it's not my problems with spelling ))) i'm ok  teacher: so, you don't know what i'm thinking. and you think: i wonder what my teacher ___ think (a modal verb)",159,38873,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,"student: i thought the same. i mean what my teacher has to think ) but then i've noticed it ok! so you know that it's not my problems with spelling ))) i'm ok  teacher: so, you don't know what i'm thinking. and you think: i wonder what my teacher ___ think (a modal verb)",1,1,2,3,3,4,1,0,3,2,3,3
"student: i thought you were talking about forums like wordreference.com forum  teacher: ah right .. no , just real stuff!    teacher: no, just factual information.",77,58907,3,0,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,"student: i thought you were talking about forums like wordreference.com forum  teacher: ah right .. no , just real stuff!    teacher: no, just factual information.",3,0,2,3,1,2,0,0,2,0,3,
student: i took my own books to the bookshop.  teacher: oh really? why?    teacher: interesting! may i ask why you did that?,154,53363,1.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,student: i took my own books to the bookshop.  teacher: oh really? why?    teacher: interesting! may i ask why you did that?,1.333333333,0.333333333,3,3,3,3,0,2,3,2,3,3
"student: i tried using an app for studying words but it was boring  teacher: ok, sure. just a notebook always worked for me, especially a small one that i could carry with me everywhere    teacher: ok, sure. a notebook has always been effective for me, especially a small one that i could conveniently carry with me everywhere.",257,66338,2.666666667,2.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"student: i tried using an app for studying words but it was boring  teacher: ok, sure. just a notebook always worked for me, especially a small one that i could carry with me everywhere    teacher: ok, sure. a notebook has always been effective for me, especially a small one that i could conveniently carry with me everywhere.",2.666666667,2.333333333,2,3,3,4,2,3,3,None,3,2
